song_id	title	work_title	subtitle	lyricist_raw	lyricist_norm	composer_raw	composer_norm	artist	song_type	brand_id	parent_song_id	is_version	interface_key	jasrac_code	jasrac_title	match_status	note
sc_拝啓タイムカプセル	拝啓タイムカプセル	拝啓タイムカプセル		古屋真	古屋真	小久保祐希、YUU for YOU	小久保祐希;YUU for YOU	放課後クライマックスガールズ(小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉)	unit	sc			imasdb-091677cbd0e9			unmatched	
sc_放っておかないファイヴァーズ	放っておかないファイヴァーズ	放っておかないファイヴァーズ		古屋真	古屋真	YUU for YOU、常楽寺澪	YUU for YOU;常楽寺澪	放課後クライマックスガールズ(小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉)	unit	sc			imasdb-5919c37ecd99			unmatched	
sc_放課後マギア	放課後マギア	放課後マギア		古屋真	古屋真	金山秀士(Dream Monster)	金山秀士(Dream Monster)	放課後クライマックスガールズ(小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉)	unit	sc			imasdb-5b61135228ee			unmatched	
sc_散花-sanka-	散花-sanka-	散花-sanka-		柿沼雅美 (KEYTONE)	柿沼雅美 (KEYTONE)	YOSHIHIRO (KEYTONE)	YOSHIHIRO (KEYTONE)	彼岸流(風野灯織、白瀬咲耶、有栖川夏葉、桑山千雪、和泉愛依)	unit	sc			imasdb-7d9d51c083ed			unmatched	
sc_散花-sanka-_game_size	散花-sanka- (Game Size)	散花-sanka-	Game Size	柿沼雅美 (KEYTONE)	柿沼雅美 (KEYTONE)	YOSHIHIRO (KEYTONE)	YOSHIHIRO (KEYTONE)	和泉愛依、有栖川夏葉、桑山千雪、白瀬咲耶、風野灯織	unit	sc	sc_散花-sanka-	1	imasdb-8452a28f6cc7			unmatched	
sc_文明開花輪舞_-シティハレルヤ-	文明開花輪舞 -シティ・ハレルヤ-	文明開花輪舞 -シティ・ハレルヤ-		真崎エリカ	真崎エリカ	藤井健太郎(HANO)	藤井健太郎(HANO)	アンティーカ(月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子)	unit	sc			imasdb-a17e881b661c			unmatched	
sc_明日もbeautiful_day	明日もBeautiful Day	明日もBeautiful Day		鈴木静那	鈴木静那	丸山真由子(Blue Bird's Nest)	丸山真由子(Blue Bird's Nest)	アルストロメリア(大崎甘奈、大崎甜花、桑山千雪)	unit	sc			imasdb-411740bca0e9			unmatched	
sc_星が流れて	星が流れて	星が流れて		渡邊亜希子	渡邊亜希子	山田智和	山田智和	イルミネーションスターズ(櫻木真乃、風野灯織、八宮めぐる)	unit	sc			imasdb-e8c9140c9c0e			unmatched	
sc_星の声	星の声	星の声		秋浦智裕	秋浦智裕	秋浦智裕	秋浦智裕	シャイニーカラーズ(櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉、大崎甘奈、大崎甜花、桑山千雪、芹沢あさひ、黛冬優子、和泉愛依、浅倉透、樋口円香、福丸小糸、市川雛菜、七草にちか、緋田美琴、斑鳩ルカ、鈴木羽那、郁田はるき)	all	sc			imasdb-38e95464ea6f			unmatched	
sc_星の数だけ	星の数だけ	星の数だけ		渡邊亜希子	渡邊亜希子	南田健吾(agehasprings Party)	南田健吾(agehasprings Party)	イルミネーションスターズ(櫻木真乃、風野灯織、八宮めぐる)	unit	sc			imasdb-dad7bbb7ccea			unmatched	
sc_星をめざして	星をめざして	星をめざして		下地悠	下地悠	三好啓太	三好啓太	芹沢あさひ	solo	sc			imasdb-88618e0de940			unmatched	
